,importance
H,0.004192989391999614
Li,0.005621121228742069
Be,0.0006642747278542646
B,0.000987173775462336
C,0.002342824045154833
N,0.0002279876017182112
O,0.10365039977233809
F,0.005140007385921985
Na,0.003484544016487515
Mg,0.004932150101494925
Al,0.00525789877000337
Si,3.688517499948774e-06
P,0.0017751816711288546
S,0.0018124984455285106
Cl,0.0004302199926675008
K,0.003478705745564098
Ca,0.16038077546410454
Sc,0.0016431343092487723
Ti,0.0015898728302903295
V,0.003195512595829677
Cr,0.0018497428294905712
Mn,0.005399066514825684
Fe,0.012434894395927444
Co,0.009848401186582414
Ni,0.015026106153865137
Cu,0.11765356847356725
Zn,0.017986018236843253
Ga,0.0039036698553495267
Ge,0.001004538728025399
Se,0.00018609632786466043
Br,0.00027349920897661603
Rb,0.00041077761998925874
Sr,0.055991975348585556
Y,0.06667186999682284
Zr,0.000889972666881871
Nb,0.00013102797901078122
Mo,0.0013292008834388013
Ru,8.193794352172558e-05
Ag,0.002061639580791492
Cd,0.001789520530613985
In,0.0035238476431139767
Sn,0.001197589197775415
Sb,0.000623133730699978
Te,4.906607265509361e-07
I,0.00039916836959072796
Cs,0.0013602456224641388
Ba,0.09264958510819757
La,0.02788703648861197
Ce,0.0010682306825090372
Pr,0.03115759069131357
Nd,0.01594474230494854
Sm,0.010650159699908585
Eu,0.004962546792467379
Gd,0.010154805920225643
Tb,0.0013040016635423245
Dy,0.00543019921140863
Ho,0.0034018338473370737
Er,0.006471014314169531
Tm,0.00549259687100127
Yb,0.012313128964873141
Lu,0.007544150958225927
Hf,0.002390231384853572
W,0.0009192904581001349
Re,0.004180111500715754
Pt,0.00027950725406825755
Au,0.0011922707442649997
Hg,0.03453560434132404
Tl,0.025455760847518747
Pb,0.02024789134058149
Bi,0.041528748535448266
